allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	GCA_029747675_1_ASM2974767v1_genomic	GCA_029747785_1_ASM2974778v1_genomic	GCA_029747985_1_ASM2974798v1_genomic	GCA_030235295_1_ASM3023529v1_genomic	GCA_030235365_1_ASM3023536v1_genomic	GCA_030235425_1_ASM3023542v1_genomic	GCA_030239835_1_ASM3023983v1_genomic	GCA_030239865_1_ASM3023986v1_genomic	GCA_030240135_1_ASM3024013v1_genomic	GCA_030240165_1_ASM3024016v1_genomic
g00270_00006	g00270	NA	30S ribosome-binding factor RbfA	98	1	10	1	1	1	0	0	0	0	10	30S ribosome-binding factor RbfA(10)	NA(10)	441	441	441.00	1	13	GCA_029747675_1_ASM2974767v1_genomic_01058	GCA_029747785_1_ASM2974778v1_genomic_01044	GCA_029747985_1_ASM2974798v1_genomic_01047	GCA_030235295_1_ASM3023529v1_genomic_01199	GCA_030235365_1_ASM3023536v1_genomic_00925	GCA_030235425_1_ASM3023542v1_genomic_01919	GCA_030239835_1_ASM3023983v1_genomic_01189	GCA_030239865_1_ASM3023986v1_genomic_00619	GCA_030240135_1_ASM3024013v1_genomic_00981	GCA_030240165_1_ASM3024016v1_genomic_00679
g00166_00006	g00166	NA	tRNA pseudouridine(55) synthase TruB	98	1	10	1	1	1	0	0	0	0	10	tRNA pseudouridine(55) synthase TruB(10)	NA(10)	897	897	897.00	1	14	GCA_029747675_1_ASM2974767v1_genomic_01057	GCA_029747785_1_ASM2974778v1_genomic_01043	GCA_029747985_1_ASM2974798v1_genomic_01046	GCA_030235295_1_ASM3023529v1_genomic_01186	GCA_030235365_1_ASM3023536v1_genomic_00939	GCA_030235425_1_ASM3023542v1_genomic_01922	GCA_030239835_1_ASM3023983v1_genomic_01181	GCA_030239865_1_ASM3023986v1_genomic_00624	GCA_030240135_1_ASM3024013v1_genomic_00970	GCA_030240165_1_ASM3024016v1_genomic_00680
g00102_00006	g00102	NA	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	98	1	10	1	1	1	0	0	0	0	10	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)(10)	NA(10)	792	792	792.00	1	15	GCA_029747675_1_ASM2974767v1_genomic_01056	GCA_029747785_1_ASM2974778v1_genomic_01042	GCA_029747985_1_ASM2974798v1_genomic_01045	GCA_030235295_1_ASM3023529v1_genomic_01171	GCA_030235365_1_ASM3023536v1_genomic_00971	GCA_030235425_1_ASM3023542v1_genomic_01924	GCA_030239835_1_ASM3023983v1_genomic_01177	GCA_030239865_1_ASM3023986v1_genomic_00637	GCA_030240135_1_ASM3024013v1_genomic_00958	GCA_030240165_1_ASM3024016v1_genomic_00681
g00543_00006	g00543	NA	glycerol kinase GlpK	98	1	10	1	1	1	0	0	0	0	10	glycerol kinase GlpK(10)	NA(10)	1527	1527	1527.00	1	16	GCA_029747675_1_ASM2974767v1_genomic_01055	GCA_029747785_1_ASM2974778v1_genomic_01041	GCA_029747985_1_ASM2974798v1_genomic_01044	GCA_030235295_1_ASM3023529v1_genomic_01145	GCA_030235365_1_ASM3023536v1_genomic_01000	GCA_030235425_1_ASM3023542v1_genomic_01927	GCA_030239835_1_ASM3023983v1_genomic_01163	GCA_030239865_1_ASM3023986v1_genomic_00649	GCA_030240135_1_ASM3024013v1_genomic_00937	GCA_030240165_1_ASM3024016v1_genomic_00682
g01260_00006	g01260	NA	bifunctional riboflavin kinase/FAD synthetase	98	1	10	1	1	1	0	0	0	0	10	bifunctional riboflavin kinase/FAD synthetase(10)	NA(10)	978	978	978.00	1	17	GCA_029747675_1_ASM2974767v1_genomic_01054	GCA_029747785_1_ASM2974778v1_genomic_01040	GCA_029747985_1_ASM2974798v1_genomic_01043	GCA_030235295_1_ASM3023529v1_genomic_01131	GCA_030235365_1_ASM3023536v1_genomic_01059	GCA_030235425_1_ASM3023542v1_genomic_01931	GCA_030239835_1_ASM3023983v1_genomic_01156	GCA_030239865_1_ASM3023986v1_genomic_00672	GCA_030240135_1_ASM3024013v1_genomic_00921	GCA_030240165_1_ASM3024016v1_genomic_00683
g00006_00006	g00006	NA	30S ribosomal protein S15	98	1	10	1	1	1	0	0	0	0	10	30S ribosomal protein S15(10)	NA(10)	264	264	264.00	1	18	GCA_029747675_1_ASM2974767v1_genomic_01053	GCA_029747785_1_ASM2974778v1_genomic_01039	GCA_029747985_1_ASM2974798v1_genomic_01042	GCA_030235295_1_ASM3023529v1_genomic_01128	GCA_030235365_1_ASM3023536v1_genomic_01097	GCA_030235425_1_ASM3023542v1_genomic_01933	GCA_030239835_1_ASM3023983v1_genomic_01152	GCA_030239865_1_ASM3023986v1_genomic_00685	GCA_030240135_1_ASM3024013v1_genomic_00913	GCA_030240165_1_ASM3024016v1_genomic_00684
g00561_00006	g00561	NA	polyribonucleotide nucleotidyltransferase	98	1	10	1	1	1	0	0	0	0	10	polyribonucleotide nucleotidyltransferase(10)	NA(10)	2211	2223	2217.00	1	19	GCA_029747675_1_ASM2974767v1_genomic_01052	GCA_029747785_1_ASM2974778v1_genomic_01038	GCA_029747985_1_ASM2974798v1_genomic_01041	GCA_030235295_1_ASM3023529v1_genomic_01089	GCA_030235365_1_ASM3023536v1_genomic_01112	GCA_030235425_1_ASM3023542v1_genomic_01935	GCA_030239835_1_ASM3023983v1_genomic_01140	GCA_030239865_1_ASM3023986v1_genomic_00693	GCA_030240135_1_ASM3024013v1_genomic_00877	GCA_030240165_1_ASM3024016v1_genomic_00685
g00815_00006	g00815	NA	4-hydroxy-tetrahydrodipicolinate reductase	98	1	10	1	1	1	0	0	0	0	10	4-hydroxy-tetrahydrodipicolinate reductase(10)	NA(10)	741	741	741.00	1	20	GCA_029747675_1_ASM2974767v1_genomic_01051	GCA_029747785_1_ASM2974778v1_genomic_01037	GCA_029747985_1_ASM2974798v1_genomic_01040	GCA_030235295_1_ASM3023529v1_genomic_01073	GCA_030235365_1_ASM3023536v1_genomic_01175	GCA_030235425_1_ASM3023542v1_genomic_01937	GCA_030239835_1_ASM3023983v1_genomic_01133	GCA_030239865_1_ASM3023986v1_genomic_00716	GCA_030240135_1_ASM3024013v1_genomic_00867	GCA_030240165_1_ASM3024016v1_genomic_00686
g00745_00006	g00745	NA	mRNA degradation ribonuclease J1/J2	98	1	10	1	1	1	0	0	0	0	10	mRNA degradation ribonuclease J1/J2(10)	NA(10)	1752	1752	1752.00	1	21	GCA_029747675_1_ASM2974767v1_genomic_01050	GCA_029747785_1_ASM2974778v1_genomic_01036	GCA_029747985_1_ASM2974798v1_genomic_01039	GCA_030235295_1_ASM3023529v1_genomic_01021	GCA_030235365_1_ASM3023536v1_genomic_01222	GCA_030235425_1_ASM3023542v1_genomic_01942	GCA_030239835_1_ASM3023983v1_genomic_01109	GCA_030239865_1_ASM3023986v1_genomic_00740	GCA_030240135_1_ASM3024013v1_genomic_00822	GCA_030240165_1_ASM3024016v1_genomic_00687
g00080_00006	g00080	NA	50S ribosomal protein L28	98	1	10	1	1	1	0	0	0	0	10	50S ribosomal protein L28(10)	NA(10)	186	186	186.00	1	22	GCA_029747675_1_ASM2974767v1_genomic_01049	GCA_029747785_1_ASM2974778v1_genomic_01035	GCA_029747985_1_ASM2974798v1_genomic_01038	GCA_030235295_1_ASM3023529v1_genomic_01012	GCA_030235365_1_ASM3023536v1_genomic_01261	GCA_030235425_1_ASM3023542v1_genomic_01946	GCA_030239835_1_ASM3023983v1_genomic_01106	GCA_030239865_1_ASM3023986v1_genomic_00764	GCA_030240135_1_ASM3024013v1_genomic_00818	GCA_030240165_1_ASM3024016v1_genomic_00688
g01236_00006	g01236	NA	RecG-like helicase	98	1	10	1	1	1	0	0	0	0	10	RecG-like helicase(10)	NA(10)	2280	2280	2280.00	1	23	GCA_029747675_1_ASM2974767v1_genomic_01048	GCA_029747785_1_ASM2974778v1_genomic_01034	GCA_029747985_1_ASM2974798v1_genomic_01037	GCA_030235295_1_ASM3023529v1_genomic_00974	GCA_030235365_1_ASM3023536v1_genomic_01265	GCA_030235425_1_ASM3023542v1_genomic_01947	GCA_030239835_1_ASM3023983v1_genomic_01086	GCA_030239865_1_ASM3023986v1_genomic_00767	GCA_030240135_1_ASM3024013v1_genomic_00784	GCA_030240165_1_ASM3024016v1_genomic_00689
g00114_00006	g00114	NA	Nitroimidazole reductase NimA or a related FMN-containing flavoprotein%2C pyridoxamine 5'-phosphate oxidase superfamily	98	1	10	1	1	1	0	0	0	0	10	Nitroimidazole reductase NimA or a related FMN-containing flavoprotein%2C pyridoxamine 5'-phosphate oxidase superfamily(10)	NA(10)	423	423	423.00	1	24	GCA_029747675_1_ASM2974767v1_genomic_01047	GCA_029747785_1_ASM2974778v1_genomic_01033	GCA_029747985_1_ASM2974798v1_genomic_01036	GCA_030235295_1_ASM3023529v1_genomic_00964	GCA_030235365_1_ASM3023536v1_genomic_01314	GCA_030235425_1_ASM3023542v1_genomic_01950	GCA_030239835_1_ASM3023983v1_genomic_01081	GCA_030239865_1_ASM3023986v1_genomic_00793	GCA_030240135_1_ASM3024013v1_genomic_00774	GCA_030240165_1_ASM3024016v1_genomic_00690
g01337_00006	g01337	NA	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	98	1	10	1	1	1	0	0	0	0	10	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD(10)	NA(10)	600	600	600.00	1	25	GCA_029747675_1_ASM2974767v1_genomic_01046	GCA_029747785_1_ASM2974778v1_genomic_01032	GCA_029747985_1_ASM2974798v1_genomic_01035	GCA_030235295_1_ASM3023529v1_genomic_00954	GCA_030235365_1_ASM3023536v1_genomic_01322	GCA_030235425_1_ASM3023542v1_genomic_01953	GCA_030239835_1_ASM3023983v1_genomic_01075	GCA_030239865_1_ASM3023986v1_genomic_00798	GCA_030240135_1_ASM3024013v1_genomic_00764	GCA_030240165_1_ASM3024016v1_genomic_00691
g00779_00006	g00779	NA	pantetheine-phosphate adenylyltransferase	98	1	10	1	1	1	0	0	0	0	10	pantetheine-phosphate adenylyltransferase(10)	NA(10)	486	486	486.00	1	26	GCA_029747675_1_ASM2974767v1_genomic_01045	GCA_029747785_1_ASM2974778v1_genomic_01031	GCA_029747985_1_ASM2974798v1_genomic_01034	GCA_030235295_1_ASM3023529v1_genomic_00942	GCA_030235365_1_ASM3023536v1_genomic_01336	GCA_030235425_1_ASM3023542v1_genomic_01954	GCA_030239835_1_ASM3023983v1_genomic_01069	GCA_030239865_1_ASM3023986v1_genomic_00804	GCA_030240135_1_ASM3024013v1_genomic_00755	GCA_030240165_1_ASM3024016v1_genomic_00692
g00243_00006	g00243	NA	23S rRNA accumulation protein YceD (essential in plants%2C uncharacterized in bacteria)	98	1	10	1	1	1	0	0	0	0	10	23S rRNA accumulation protein YceD (essential in plants%2C uncharacterized in bacteria)(10)	NA(10)	486	489	487.50	1	27	GCA_029747675_1_ASM2974767v1_genomic_01044	GCA_029747785_1_ASM2974778v1_genomic_01030	GCA_029747985_1_ASM2974798v1_genomic_01033	GCA_030235295_1_ASM3023529v1_genomic_00926	GCA_030235365_1_ASM3023536v1_genomic_01353	GCA_030235425_1_ASM3023542v1_genomic_01956	GCA_030239835_1_ASM3023983v1_genomic_01064	GCA_030239865_1_ASM3023986v1_genomic_00814	GCA_030240135_1_ASM3024013v1_genomic_00749	GCA_030240165_1_ASM3024016v1_genomic_00693
g00122_00006	g00122	NA	50S ribosomal protein L32	98	1	10	1	1	1	0	0	0	0	10	50S ribosomal protein L32(10)	NA(10)	213	213	213.00	1	28	GCA_029747675_1_ASM2974767v1_genomic_01043	GCA_029747785_1_ASM2974778v1_genomic_01029	GCA_029747985_1_ASM2974798v1_genomic_01032	GCA_030235295_1_ASM3023529v1_genomic_00919	GCA_030235365_1_ASM3023536v1_genomic_01364	GCA_030235425_1_ASM3023542v1_genomic_01957	GCA_030239835_1_ASM3023983v1_genomic_01061	GCA_030239865_1_ASM3023986v1_genomic_00821	GCA_030240135_1_ASM3024013v1_genomic_00744	GCA_030240165_1_ASM3024016v1_genomic_00694
g00550_00006	g00550	NA	ribonuclease III	98	1	10	1	1	1	0	0	0	0	10	ribonuclease III(10)	NA(10)	723	723	723.00	1	29	GCA_029747675_1_ASM2974767v1_genomic_01042	GCA_029747785_1_ASM2974778v1_genomic_01028	GCA_029747985_1_ASM2974798v1_genomic_01031	GCA_030235295_1_ASM3023529v1_genomic_00909	GCA_030235365_1_ASM3023536v1_genomic_01370	GCA_030235425_1_ASM3023542v1_genomic_01958	GCA_030239835_1_ASM3023983v1_genomic_01054	GCA_030239865_1_ASM3023986v1_genomic_00823	GCA_030240135_1_ASM3024013v1_genomic_00732	GCA_030240165_1_ASM3024016v1_genomic_00695
g01273_00006	g01273	NA	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	98	1	10	1	1	1	0	0	0	0	10	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase(10)	NA(10)	882	906	903.60	1	30	GCA_029747675_1_ASM2974767v1_genomic_01041	GCA_029747785_1_ASM2974778v1_genomic_01027	GCA_029747985_1_ASM2974798v1_genomic_01030	GCA_030235295_1_ASM3023529v1_genomic_00889	GCA_030235365_1_ASM3023536v1_genomic_01388	GCA_030235425_1_ASM3023542v1_genomic_01960	GCA_030239835_1_ASM3023983v1_genomic_01049	GCA_030239865_1_ASM3023986v1_genomic_00829	GCA_030240135_1_ASM3024013v1_genomic_00723	GCA_030240165_1_ASM3024016v1_genomic_00696
g01026_00006	g01026	NA	GtrA family protein	98	1	10	1	1	1	0	0	0	0	10	GtrA family protein(10)	NA(10)	615	615	615.00	1	31	GCA_029747675_1_ASM2974767v1_genomic_01040	GCA_029747785_1_ASM2974778v1_genomic_01026	GCA_029747985_1_ASM2974798v1_genomic_01029	GCA_030235295_1_ASM3023529v1_genomic_00877	GCA_030235365_1_ASM3023536v1_genomic_01403	GCA_030235425_1_ASM3023542v1_genomic_01962	GCA_030239835_1_ASM3023983v1_genomic_01045	GCA_030239865_1_ASM3023986v1_genomic_00838	GCA_030240135_1_ASM3024013v1_genomic_00716	GCA_030240165_1_ASM3024016v1_genomic_00697
g01351_00006	g01351	NA	chromosome segregation protein SMC	98	1	10	1	1	1	0	0	0	0	10	chromosome segregation protein SMC(10)	NA(10)	3546	3546	3546.00	1	32	GCA_029747675_1_ASM2974767v1_genomic_01039	GCA_029747785_1_ASM2974778v1_genomic_01025	GCA_029747985_1_ASM2974798v1_genomic_01028	GCA_030235295_1_ASM3023529v1_genomic_00796	GCA_030235365_1_ASM3023536v1_genomic_01416	GCA_030235425_1_ASM3023542v1_genomic_01964	GCA_030239835_1_ASM3023983v1_genomic_01020	GCA_030239865_1_ASM3023986v1_genomic_00844	GCA_030240135_1_ASM3024013v1_genomic_00664	GCA_030240165_1_ASM3024016v1_genomic_00698
g00719_00006	g00719	NA	signal recognition particle-docking protein FtsY	98	1	10	1	1	1	0	0	0	0	10	signal recognition particle-docking protein FtsY(10)	NA(10)	1155	1155	1155.00	1	33	GCA_029747675_1_ASM2974767v1_genomic_01038	GCA_029747785_1_ASM2974778v1_genomic_01024	GCA_029747985_1_ASM2974798v1_genomic_01027	GCA_030235295_1_ASM3023529v1_genomic_00767	GCA_030235365_1_ASM3023536v1_genomic_01473	GCA_030235425_1_ASM3023542v1_genomic_01971	GCA_030239835_1_ASM3023983v1_genomic_01004	GCA_030239865_1_ASM3023986v1_genomic_00885	GCA_030240135_1_ASM3024013v1_genomic_00640	GCA_030240165_1_ASM3024016v1_genomic_00699
g01007_00006	g01007	NA	signal recognition particle protein	98	1	10	1	1	1	0	0	0	0	10	signal recognition particle protein(10)	NA(10)	1572	1572	1572.00	1	34	GCA_029747675_1_ASM2974767v1_genomic_01037	GCA_029747785_1_ASM2974778v1_genomic_01023	GCA_029747985_1_ASM2974798v1_genomic_01026	GCA_030235295_1_ASM3023529v1_genomic_00724	GCA_030235365_1_ASM3023536v1_genomic_01490	GCA_030235425_1_ASM3023542v1_genomic_01974	GCA_030239835_1_ASM3023983v1_genomic_00986	GCA_030239865_1_ASM3023986v1_genomic_00896	GCA_030240135_1_ASM3024013v1_genomic_00618	GCA_030240165_1_ASM3024016v1_genomic_00700
g00505_00006	g00505	NA	Imidazolonepropionase or related amidohydrolase	98	1	10	1	1	1	0	0	0	0	10	Imidazolonepropionase or related amidohydrolase(10)	NA(10)	1059	1059	1059.00	1	35	GCA_029747675_1_ASM2974767v1_genomic_01036	GCA_029747785_1_ASM2974778v1_genomic_01022	GCA_029747985_1_ASM2974798v1_genomic_01025	GCA_030235295_1_ASM3023529v1_genomic_00696	GCA_030235365_1_ASM3023536v1_genomic_01511	GCA_030235425_1_ASM3023542v1_genomic_01978	GCA_030239835_1_ASM3023983v1_genomic_00976	GCA_030239865_1_ASM3023986v1_genomic_00908	GCA_030240135_1_ASM3024013v1_genomic_00601	GCA_030240165_1_ASM3024016v1_genomic_00701
g00820_00006	g00820	NA	30S ribosomal protein S16	98	1	10	1	1	1	0	0	0	0	10	30S ribosomal protein S16(10)	NA(10)	492	492	492.00	1	36	GCA_029747675_1_ASM2974767v1_genomic_01035	GCA_029747785_1_ASM2974778v1_genomic_01021	GCA_029747985_1_ASM2974798v1_genomic_01024	GCA_030235295_1_ASM3023529v1_genomic_00683	GCA_030235365_1_ASM3023536v1_genomic_01527	GCA_030235425_1_ASM3023542v1_genomic_01981	GCA_030239835_1_ASM3023983v1_genomic_00964	GCA_030239865_1_ASM3023986v1_genomic_00918	GCA_030240135_1_ASM3024013v1_genomic_00594	GCA_030240165_1_ASM3024016v1_genomic_00702
g01242_00006	g01242	NA	RNA-binding protein	98	1	10	1	1	1	0	0	0	0	10	RNA-binding protein(10)	NA(10)	255	255	255.00	1	37	GCA_029747675_1_ASM2974767v1_genomic_01034	GCA_029747785_1_ASM2974778v1_genomic_01020	GCA_029747985_1_ASM2974798v1_genomic_01023	GCA_030235295_1_ASM3023529v1_genomic_00673	GCA_030235365_1_ASM3023536v1_genomic_01532	GCA_030235425_1_ASM3023542v1_genomic_01983	GCA_030239835_1_ASM3023983v1_genomic_00962	GCA_030239865_1_ASM3023986v1_genomic_00921	GCA_030240135_1_ASM3024013v1_genomic_00590	GCA_030240165_1_ASM3024016v1_genomic_00703
